127.0.0.1 - - [15/Jul/2019:20:13:42 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:43 +0900] "GET /basic/jjam_3_form.jsp HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/jjam_3_form.do HTTP/1.1" 200 35698
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/resources/style/main.css HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/resources/image/character.png HTTP/1.1" 200 8227
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/resources/image/JJCR_white1.png HTTP/1.1" 200 3596
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/resources/image/category_icon/fruit_icon.png HTTP/1.1" 200 8005
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/resources/image/apple.jpg HTTP/1.1" 200 114238
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/resources/image/category_icons_pin/spam_pin.png HTTP/1.1" 200 8437
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/resources/image/category_icons_pin/vege_pin.png HTTP/1.1" 200 8929
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/resources/image/category_icons_pin/meat_pin.png HTTP/1.1" 200 8929
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/resources/image/category_icons_pin/seafood_pin.png HTTP/1.1" 200 8564
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/resources/image/category_icons_pin/fruit_pin.png HTTP/1.1" 200 9172
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/resources/image/category_icons_pin/nangdong_pin.png HTTP/1.1" 200 8565
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:45 +0900] "GET /basic/resources/image/chatbot_modal.png HTTP/1.1" 200 143631
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:13:48 +0900] "GET /basic/resources/font/NanumSquareR.woff HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:14:13 +0900] "GET /basic/jjam_1_index.jsp HTTP/1.1" 200 7470
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:14:13 +0900] "GET /basic/resources/image/hidden.png HTTP/1.1" 200 9544
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:14:13 +0900] "GET /basic/resources/font/NanumSquareL.woff HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:14:13 +0900] "GET /basic/resources/font/NanumSquareR.woff HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:14:16 +0900] "GET /basic/customerLogin.do HTTP/1.1" 200 6014
0:0:0:0:0:0:0:1 - - [15/Jul/2019:20:14:16 +0900] "GET /basic/resources/style/login.css HTTP/1.1" 200 2687
